method,precision,recall,f1,accuracy,tp,fp,tn,fn,runtime_seconds,pairs_evaluated,candidate_pairs,candidate_recall,comparison_reduction,jaccard_threshold,simhash_max_distance,cosine_threshold,num_perm,bands
MinHash+LSH+exact-Jaccard,0.529217,0.668237,0.590657,0.646,1277,1136,1953,634,6.270017,5000,3260,0.844061,0.348,0.05,,,128,128
Hybrid TF-IDF SimHash,0.497942,0.823129,0.620513,0.6152,1573,1586,1503,338,3.51142,5000,5000,,0.0,,22,,,
TF-IDF cosine (bonus),0.525808,0.884877,0.659645,0.651,1691,1525,1564,220,2.593443,5000,5000,,0.0,,,0.32,,
