method,split,precision,recall,f1,accuracy,tp,fp,tn,fn,threshold,train_pairs,validation_pairs,test_pairs,feature_count,l2
Character TF-IDF cosine,validation,0.527374,0.844365,0.649243,0.659887,944,846,1035,174,0.338523,8999,2999,3002,39,3.333333
Character TF-IDF cosine,test,0.508578,0.821269,0.628161,0.637575,919,888,995,200,0.338523,8999,2999,3002,39,3.333333
Token Jaccard,validation,0.518267,0.888193,0.654581,0.65055,993,923,958,125,0.230769,8999,2999,3002,39,3.333333
Token Jaccard,test,0.502819,0.876676,0.639088,0.630913,981,970,913,138,0.230769,8999,2999,3002,39,3.333333
Calibrated lexical ensemble,validation,0.562791,0.865832,0.682171,0.699233,968,752,1129,150,0.43982,8999,2999,3002,39,3.333333
Calibrated lexical ensemble,test,0.542906,0.848079,0.662016,0.677215,949,799,1084,170,0.43982,8999,2999,3002,39,3.333333
